path	title	words	flags	first_para
13_platform_specific/13.6_practice.md	13.6 本章实战练习	138	volatile,api,code	本节提供实战练习，帮助读者掌握基于不同大模型平台制定针对性提示词策略的技巧。
13_platform_specific/summary.md	第十三章：平台特定策略	73	volatile,api	本章介绍了不同AI平台的特定提示词策略。
14_future/README.md	第十四章：未来趋势与展望	20		作为本书的最后一章，我们将展望提示词工程的未来发展方向，包括从提示词工程到上下文工程的演进、多Agent协作、职业发展以及行业应用案例。
14_future/14.1_context_engineering.md	14.1 从提示词工程到上下文工程	656	volatile,api,code,diagram	随着 AI 应用复杂度的增加，业界正在经历从"提示词工程"向"上下文工程"的范式演进。这一转变反映了对 AI 系统整体架构设计的更高层次思考。
14_future/14.2_multi_agent.md	14.2 多 Agent 协作与编排	835	volatile,code,diagram	多 Agent 系统是 AI 应用的重要发展方向，通过让多个专业化 Agent 分工协作，可以解决单一 Agent 难以处理的复杂任务。本节深入探讨多 Agent 架构设计、协作模式和提示词策略。
14_future/14.3_career.md	14.3 提示词工程的职业发展	437	volatile,api,code,diagram	提示词工程已成为一个新兴的专业领域，催生了相关的职业机会和技能需求。本节探讨提示词工程师的职业路径、核心技能和发展方向。
14_future/14.4_industry_cases.md	14.4 行业应用案例与最佳实践	577	code,diagram	提示词工程在各行各业都有广泛应用。本节通过深入的行业案例，展示提示词技术如何在实际场景中创造价值。
14_future/summary.md	第十四章：未来趋势与展望	159	volatile,api	本章展望了提示词工程的未来发展方向。
appendix/a_templates.md	附录A：常用提示词模板库	381	code	本附录收集了各种常见场景的提示词模板，可以直接使用或根据需求调整。
appendix/b_glossary.md	附录B：术语表	198		本附录收录了提示词工程和大语言模型领域的常用术语及其解释。
appendix/c_resources.md	附录C：资源、工具与参考文献	473	volatile,api,code	本附录汇总了全书中引用的重要论文、官方文档及业界优秀的开源实践库，同时推荐学习提示词工程的优质资源和实用工具，供读者进行更深入的拓展学习。
appendix/d_taxonomy_index.md	附录D：提示词技术分类索引	351	code,diagram	提示词工程经过数年的快速发展，已经演变出多种多样的技术和方法。为了更好地理解和应用这些技术，我们需要建立一个清晰的分类体系。本节基于最新的综述研究 [Mizrahi et al. (2024)](https://arxiv.org/abs/2402.07927)，介绍大语言模型提示词技术的系统化分类。
appendix/e_anti_patterns.md	附录 E：提示词常见反模式与排错指南	182	code	在长期的提示词工程实践中，开发者们总结出了一些普遍存在的"错误做法"。我们称之为**反模式**。使用反模式虽然也能让大模型输出结果，但往往会带来不稳定性、冗余或过高的成本。
